FoodCode	Main.food.description	X2017_2018.FNDDS.At.A.Glance_Foods.and.Beverages	Vidarium.Foodcode.ModCode	ModCode	Old.Main.food.description	FoodID
27311210	_Corned_beef_potatoes_and_vegetables_including_carrots_broccoli_and_or_dark_green_leafy_no_sauce_	Yes	No	0	"Corned beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce"	27311210.0
27311220	_Corned_beef_potatoes_and_vegetables_excluding_carrots_broccoli_and_dark_green_leafy_no_sauce_	Yes	No	0	"Corned beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce"	27311220.0
27311310	_Beef_stew_with_potatoes_and_vegetables_including_carrots_broccoli_and_or_dark_green_leafy_tomato_based_sauce_	Yes	No	0	"Beef stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce"	27311310.0
27311320	_Beef_stew_with_potatoes_and_vegetables_excluding_carrots_broccoli_and_dark_green_leafy_tomato_based_sauce_	Yes	No	0	"Beef stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce"	27311320.0
27311410	_Beef_stew_with_potatoes_and_vegetables_including_carrots_broccoli_and_or_dark_green_leafy_gravy_	Yes	No	0	"Beef stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; gravy"	27311410.0
27311420	_Beef_stew_with_potatoes_and_vegetables_excluding_carrots_broccoli_and_dark_green_leafy_gravy_	Yes	No	0	"Beef stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; gravy"	27311420.0
27311510	Shepherd_s_pie_with_beef	Yes	No	0	Shepherd's pie with beef	27311510.0
27311600	_Beef_potatoes_and_vegetables_including_carrots_broccoli_and_or_dark_green_leafy_gravy_	Yes	No	0	"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy"	27311600.0
27311605	_Beef_potatoes_and_vegetables_excluding_carrots_broccoli_and_dark_green_leafy_gravy_	Yes	No	0	"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy"	27311605.0
27311610	_Beef_potatoes_and_vegetables_including_carrots_broccoli_and_or_dark_green_leafy_cream_sauce_white_sauce_or_mushroom_sauce_	Yes	No	0	"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce"	27311610.0
27311620	_Beef_potatoes_and_vegetables_excluding_carrots_broccoli_and_dark_green_leafy_cream_sauce_white_sauce_or_mushroom_sauce_	Yes	No	0	"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cream sauce, white sauce, or mushroom sauce"	27311620.0
27311625	_Beef_potatoes_and_vegetables_including_carrots_broccoli_and_or_dark_green_leafy_tomato_based_sauce_	Yes	No	0	"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce"	27311625.0
