FoodCode	Main.food.description	X2017_2018.FNDDS.At.A.Glance_Foods.and.Beverages	Vidarium.Foodcode.ModCode	ModCode	Old.Main.food.description	FoodID
13150000	Sherbet_all_flavors	Yes	No	0	Sherbet, all flavors	13150000.0
13230130	Pudding_chocolate_ready_to_eat	Yes	No	0	Pudding, chocolate, ready-to-eat	13230130.0
13411000	White_sauce_or_gravy	Yes	No	0	White sauce or gravy	13411000.0
14105010	Cheese_Gouda_or_Edam	Yes	No	0	Cheese, Gouda or Edam	14105010.0
14107020	Cheese_Mozzarella_whole_milk	No	Yes	0	Cheese_Mozzarella_whole_milk	14107020.0
14107060	Cheese_Mozzarella_nonfat_or_fat_free	Yes	No	0	Cheese, Mozzarella, nonfat or fat free	14107060.0
14108010	Cheese_Parmesan_dry_grated	Yes	No	0	Cheese, Parmesan, dry grated	14108010.0
14108400	Cheese_Provolone	Yes	No	0	Cheese, Provolone	14108400.0
14133000	Queso_Fresco	Yes	No	0	Queso Fresco	14133000.0
14203510	Puerto_Rican_white_cheese	Yes	No	0	Puerto Rican white cheese	14203510.0
14301010	Cream_cheese_regular_plain	Yes	No	0	Cream cheese, regular, plain	14301010.0
14410130	Cheese_American_nonfat_or_fat_free	Yes	No	0	Cheese, American, nonfat or fat free	14410130.0
14620200	Cheese_dip	Yes	No	0	Cheese dip	14620200.0
41101050	Beans_canned_drained_NS_as_to_type_and_as_to_fat_added_in_cooking	No	Yes	0	Beans_canned_drained_NS_as_to_type_and_as_to_fat_added_in_cooking	41101050.0
41101100	White_beans_dry_cooked_NS_as_to_fat_added_in_cooking	No	Yes	0	White_beans_dry_cooked_NS_as_to_fat_added_in_cooking	41101100.0
41102020	Black_beans_from_dried_no_added_fat	Yes	No	0	Black beans, from dried, no added fat	41102020.0
41103060	Pink_beans_dry_cooked_fat_not_added_in_cooking	No	Yes	0	Pink_beans_dry_cooked_fat_not_added_in_cooking	41103060.0
41104000	Pinto_calico_or_red_Mexican_beans_dry_cooked_NS_as_to_fat_added_in_cooking	No	Yes	0	Pinto_calico_or_red_Mexican_beans_dry_cooked_NS_as_to_fat_added_in_cooking	41104000.0
41106000	Red_kidney_beans_dry_cooked_NS_as_to_fat_added_in_cooking	No	Yes	0	Red_kidney_beans_dry_cooked_NS_as_to_fat_added_in_cooking	41106000.0
41107000	Soybeans_dry_cooked_fat_not_added_in_cooking	No	Yes	0	Soybeans_dry_cooked_fat_not_added_in_cooking	41107000.0
41205070	Hummus_plain	Yes	No	0	Hummus, plain	41205070.0
41302000	Chickpeas_dry_cooked_NS_as_to_fat_added_in_cooking	No	Yes	0	Chickpeas_dry_cooked_NS_as_to_fat_added_in_cooking	41302000.0
41303000	Split_peas_from_dried_no_added_fat	Yes	No	0	Split peas, from dried, no added fat	41303000.0
41304980	Lentils_dry_cooked_NS_as_to_fat_added_in_cooking	No	Yes	0	Lentils_dry_cooked_NS_as_to_fat_added_in_cooking	41304980.0
41410015	Soy_chips	Yes	No	0	Soy chips	41410015.0
41420010	Soybean_curd	Yes	No	0	Soybean curd	41420010.0
41420250	Hoisin_sauce	Yes	No	0	Hoisin sauce	41420250.0
41420300	Soy_sauce	Yes	No	0	Soy sauce	41420300.0
41420450	Worcestershire_sauce	Yes	No	0	Worcestershire sauce	41420450.0
41601010	Bean_soup_NFS	Yes	No	0	Bean soup, NFS	41601010.0
41603010	Lentil_soup_home_recipe_canned_or_ready_to_serve	Yes	No	0	Lentil soup, home recipe, canned, or ready-to-serve	41603010.0
42101110	Almonds_salted	Yes	No	0	Almonds, salted	42101110.0
42101130	Almonds_unsalted	Yes	No	0	Almonds, unsalted	42101130.0
42101350	Almonds_honey_roasted	Yes	No	0	Almonds, honey roasted	42101350.0
42102000	Brazil_nuts	Yes	No	0	Brazil nuts	42102000.0
42106000	Coconut_fresh	Yes	No	0	Coconut, fresh	42106000.0
42109100	Macadamia_nuts	Yes	No	0	Macadamia nuts	42109100.0
42110300	Mixed_nuts_honey_roasted	Yes	No	0	Mixed nuts, honey roasted	42110300.0
42111000	Peanuts_NFS	Yes	No	0	Peanuts, NFS	42111000.0
42111100	Peanuts_roasted_salted	Yes	No	0	Peanuts, roasted, salted	42111100.0
42111110	Peanuts_roasted_unsalted	Yes	No	0	Peanuts, roasted, unsalted	42111110.0
42114140	Pistachio_nuts_salted	Yes	No	0	Pistachio nuts, salted	42114140.0
42202000	Peanut_butter	Yes	No	0	Peanut butter	42202000.0
43103000	Sesame_seeds	Yes	No	0	Sesame seeds	43103000.0
43104000	Flax_seeds	Yes	No	0	Flax seeds	43104000.0
43107000	Mixed_seeds	Yes	No	0	Mixed seeds	43107000.0
51000200	Roll_NS_as_to_major_flour	Yes	No	0	Roll, NS as to major flour	51000200.0
51101000	Bread_white	Yes	No	0	Bread, white	51101000.0
51101010	Bread_white_toasted	Yes	No	0	Bread, white, toasted	51101010.0
51107010	Bread_French_or_Vienna	Yes	No	0	Bread, French or Vienna	51107010.0
51109100	Bread_pita	Yes	No	0	Bread, pita	51109100.0
51111010	Bread_cheese	Yes	No	0	Bread, cheese	51111010.0
51123010	Bread_high_protein	Yes	No	0	Bread, high protein	51123010.0
51161250	Pan_Dulce_no_topping	Yes	No	0	Pan Dulce, no topping	51161250.0
51166000	Croissant	Yes	No	0	Croissant	51166000.0
51183990	Breadsticks_NFS	Yes	No	0	Breadsticks, NFS	51183990.0
51185000	Croutons	Yes	No	0	Croutons	51185000.0
51186130	Muffin_English_cheese	Yes	No	0	Muffin, English, cheese	51186130.0
51300060	Bread_whole_grain_white_toasted	Yes	No	0	Bread, whole grain white, toasted	51300060.0
51300110	Bread_whole_wheat	Yes	No	0	Bread, whole wheat	51300110.0
