FoodCode	Main.food.description	2017_2018.FNDDS.At.A.Glance_Foods.and.Beverages	Vidarium.Foodcode.ModCode	ModCode
11513802	Chocolate milk, made from light syrup with reduced fat milk	Yes	No	0
11513803	Chocolate milk, made from light syrup with low fat milk	Yes	No	0
11513804	Chocolate milk, made from light syrup with fat free milk	Yes	No	0
11513805	Chocolate milk, made from light syrup with non-dairy milk	Yes	No	0
11513850	Chocolate milk, made from sugar free syrup, NS as to type of milk	Yes	No	0
11513851	Chocolate milk, made from sugar free syrup with whole milk	Yes	No	0
11513852	Chocolate milk, made from sugar free syrup with reduced fat milk	Yes	No	0
11513853	Chocolate milk, made from sugar free syrup with low fat milk	Yes	No	0
11513854	Chocolate milk, made from sugar free syrup with fat free milk	Yes	No	0
11513855	Chocolate milk, made from sugar free syrup with non-dairy milk	Yes	No	0
11514100	Hot chocolate / Cocoa, made with dry mix and water	Yes	No	0
11514110	Hot chocolate / Cocoa, made with dry mix and whole milk	Yes	No	0
11514120	Hot chocolate / Cocoa, made with dry mix and reduced fat milk	Yes	No	0
11514130	Hot chocolate / Cocoa, made with dry mix and low fat milk	Yes	No	0
11514140	Hot chocolate / Cocoa, made with dry mix and fat free milk	Yes	No	0
11514150	Hot chocolate / Cocoa, made with dry mix and non-dairy milk	Yes	No	0
11514310	Hot chocolate / Cocoa, made with no sugar added dry mix and water	Yes	No	0
11514320	Hot chocolate / Cocoa, made with no sugar added dry mix and whole milk	Yes	No	0
11514330	Hot chocolate / Cocoa, made with no sugar added dry mix and reduced fat milk	Yes	No	0
11514340	Hot chocolate / Cocoa, made with no sugar added dry mix and low fat milk	Yes	No	0
11514350	Hot chocolate / Cocoa, made with no sugar added dry mix and fat free milk	Yes	No	0
11514360	Hot chocolate / Cocoa, made with no sugar added dry mix and non-dairy milk	Yes	No	0
11519040	Strawberry milk, NFS	Yes	No	0
11519050	Strawberry milk, whole	Yes	No	0
11519105	Strawberry milk, reduced fat	Yes	No	0
11519200	Strawberry milk, low fat	Yes	No	0
11519205	Strawberry milk, fat free	Yes	No	0
11519210	Strawberry milk, reduced sugar	Yes	No	0
11519215	Strawberry milk, non-dairy	Yes	No	0
11526000	Milk, malted	Yes	No	0
11531000	Eggnog	Yes	No	0
11541110	Milk shake, home recipe, chocolate	Yes	No	0
11541120	Milk shake, home recipe, flavors other than chocolate	Yes	No	0
11541130	Milk shake, home recipe, chocolate, light	Yes	No	0
11541135	Milk shake, home recipe, flavors other than chocolate, light	Yes	No	0
11541400	Milk shake with malt	Yes	No	0
11542100	Milk shake, fast food, chocolate	Yes	No	0
11542200	Milk shake, fast food, flavors other than chocolate	Yes	No	0
11543000	Milk shake, bottled, chocolate	Yes	No	0
11543010	Milk shake, bottled, flavors other than chocolate	Yes	No	0
11551050	Licuado or Batido	Yes	No	0
11553100	Fruit smoothie, NFS	Yes	No	0
11553110	Fruit smoothie, with whole fruit and dairy	Yes	No	0
11553120	Fruit smoothie, with whole fruit and dairy, added protein	Yes	No	0
11553130	Fruit smoothie juice drink, with dairy	Yes	No	0
11560000	Chocolate milk drink	Yes	No	0
11710000	Infant formula, NFS	Yes	No	0
11710050	Infant formula, NS as to form (Similac Expert Care Alimentum)	Yes	No	0
