FoodID	taxonomy	Main.food.description
41104000.0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Dried_beans;L4_Beans_NS_to_type;L5_Pinto_calico_or_red_Mexican_beans;Pinto_calico_or_red_Mexican_beans_dry_cooked_NS_as_to_fat_added_in_cooking	Pinto calico or red Mexican beans dry cooked NS as to fat added in cooking
41106000.0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Dried_beans;L4_Beans_NS_to_type;L5_Red_kidney_beans;Red_kidney_beans_dry_cooked_NS_as_to_fat_added_in_cooking	Red kidney beans dry cooked NS as to fat added in cooking
41107000.0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Dried_beans;L4_Beans_NS_to_type;L5_Soybeans;Soybeans_dry_cooked_fat_not_added_in_cooking	Soybeans dry cooked fat not added in cooking
41205070.0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Dried_beans_mixtures;L4_Dried_beans_mixtures;L5_Bean_dips_and_sauces;Hummus_plain	Hummus plain
41302000.0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Dried_peas_lentils_and_mixtures;L4_;L5_;Chickpeas_dry_cooked_NS_as_to_fat_added_in_cooking	Chickpeas dry cooked NS as to fat added in cooking
41303000.0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Dried_peas_lentils_and_mixtures;L4_;L5_;Split_peas_from_dried_no_added_fat	Split peas from dried no added fat
41304980.0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Dried_peas_lentils_and_mixtures;L4_;L5_;Lentils_dry_cooked_NS_as_to_fat_added_in_cooking	Lentils dry cooked NS as to fat added in cooking
41410015.0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Soybean_derived_products_excluding_milks;L4_Soy_snacks;L5_;Soy_chips	Soy chips
41420010.0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Soybean_derived_products_excluding_milks;L4_Soybean_derived_products;L5_Curds_and_sauces;Soybean_curd	Soybean curd
41420250.0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Soybean_derived_products_excluding_milks;L4_Soybean_derived_products;L5_Curds_and_sauces;Hoisin_sauce	Hoisin sauce
